Date,Time,Visitor,G,Home,G,,Att.,LOG
2023-10-10,8:00 PM,Chicago Blackhawks,4,Pittsburgh Penguins,2,,18411,2:34
2023-10-10,5:30 PM,Nashville Predators,3,Tampa Bay Lightning,5,,19092,2:33
2023-10-10,10:30 PM,Seattle Kraken,1,Vegas Golden Knights,4,,18724,2:22
2023-10-11,7:30 PM,Chicago Blackhawks,1,Boston Bruins,3,,17850,2:29
2023-10-11,7:00 PM,Ottawa Senators,3,Carolina Hurricanes,5,,18893,2:33
2023-10-11,10:00 PM,Winnipeg Jets,3,Calgary Flames,5,,17414,2:32
2023-10-11,10:00 PM,Colorado Avalanche,5,Los Angeles Kings,2,,18145,2:37
2023-10-11,7:00 PM,Montreal Canadiens,5,Toronto Maple Leafs,6,SO,18948,2:46
2023-10-11,10:00 PM,Edmonton Oilers,1,Vancouver Canucks,8,,18706,2:33
2023-10-12,7:00 PM,New York Rangers,5,Buffalo Sabres,1,,19070,2:26
2023-10-12,7:00 PM,Philadelphia Flyers,4,Columbus Blue Jackets,2,,18614,2:26
2023-10-12,8:00 PM,St. Louis Blues,1,Dallas Stars,2,SO,18532,2:40
2023-10-12,8:00 PM,Florida Panthers,0,Minnesota Wild,2,,18976,2:37
2023-10-12,7:30 PM,Detroit Red Wings,3,New Jersey Devils,4,,16514,2:29
2023-10-12,8:00 PM,Seattle Kraken,0,Nashville Predators,3,,17629,2:21
2023-10-12,10:30 PM,Vegas Golden Knights,4,San Jose Sharks,1,,17435,2:28
2023-10-13,7:00 PM,Arizona Coyotes,4,New Jersey Devils,3,SO,16514,2:43
2023-10-13,7:30 PM,Pittsburgh Penguins,4,Washington Capitals,0,,18573,2:34
2023-10-14,7:00 PM,Nashville Predators,2,Boston Bruins,3,,17850,2:33
2023-10-14,7:00 PM,New York Rangers,3,Columbus Blue Jackets,5,,16520,2:34
2023-10-14,7:00 PM,Tampa Bay Lightning,4,Detroit Red Wings,6,,19515,2:28
2023-10-14,10:00 PM,Vancouver Canucks,4,Edmonton Oilers,3,,18347,2:30
2023-10-14,10:30 PM,Carolina Hurricanes,6,Los Angeles Kings,5,SO,17517,2:57
2023-10-14,7:00 PM,Chicago Blackhawks,2,Montreal Canadiens,3,,21105,2:26
2023-10-14,7:30 PM,Buffalo Sabres,2,New York Islanders,3,,17255,2:29
2023-10-14,1:00 PM,Philadelphia Flyers,2,Ottawa Senators,5,,20011,2:30
2023-10-14,7:00 PM,Calgary Flames,2,Pittsburgh Penguins,5,,17635,2:30
2023-10-14,10:00 PM,Colorado Avalanche,2,San Jose Sharks,1,SO,17435,2:46
2023-10-14,8:00 PM,Seattle Kraken,1,St. Louis Blues,2,SO,18096,2:33
2023-10-14,7:00 PM,Minnesota Wild,4,Toronto Maple Leafs,7,,18903,2:36
2023-10-14,10:00 PM,Anaheim Ducks,1,Vegas Golden Knights,4,,18033,2:35
2023-10-14,4:00 PM,Florida Panthers,4,Winnipeg Jets,6,,13410,2:32
2023-10-15,8:30 PM,Carolina Hurricanes,3,Anaheim Ducks,6,,17278,2:32
2023-10-15,7:00 PM,Tampa Bay Lightning,2,Ottawa Senators,5,,15584,2:27
2023-10-16,7:00 PM,Detroit Red Wings,4,Columbus Blue Jackets,0,,14959,2:25
2023-10-16,7:00 PM,Florida Panthers,4,New Jersey Devils,3,,15023,2:30
2023-10-16,7:00 PM,Arizona Coyotes,1,New York Rangers,2,,18006,2:29
2023-10-16,7:00 PM,Chicago Blackhawks,4,Toronto Maple Leafs,1,,19101,2:37
2023-10-16,7:00 PM,Calgary Flames,2,Washington Capitals,3,SO,16489,2:43
2023-10-17,7:30 PM,Tampa Bay Lightning,2,Buffalo Sabres,3,OT,12598,2:27
2023-10-17,7:00 PM,Minnesota Wild,5,Montreal Canadiens,2,,21105,2:36
2023-10-17,8:00 PM,Edmonton Oilers,6,Nashville Predators,1,,17216,2:27
2023-10-17,7:30 PM,Arizona Coyotes,0,New York Islanders,1,,14456,2:22
2023-10-17,6:00 PM,Vancouver Canucks,0,Philadelphia Flyers,2,,18883,2:28
2023-10-17,10:00 PM,Colorado Avalanche,4,Seattle Kraken,1,,17151,2:35
2023-10-17,10:30 PM,Carolina Hurricanes,6,San Jose Sharks,3,,10378,2:33
2023-10-17,10:30 PM,Dallas Stars,2,Vegas Golden Knights,3,SO,17612,2:47
2023-10-17,8:00 PM,Los Angeles Kings,5,Winnipeg Jets,1,,11226,2:24
2023-10-18,7:30 PM,Pittsburgh Penguins,3,Detroit Red Wings,6,,18895,2:31
2023-10-18,7:00 PM,Washington Capitals,1,Ottawa Senators,6,,15021,2:31
2023-10-19,10:00 PM,Dallas Stars,3,Anaheim Ducks,2,,14274,2:23
2023-10-19,7:00 PM,Calgary Flames,4,Buffalo Sabres,3,,13025,2:34
2023-10-19,10:30 PM,Chicago Blackhawks,0,Colorado Avalanche,4,,18140,2:24
2023-10-19,7:00 PM,Toronto Maple Leafs,1,Florida Panthers,3,,19288,2:30
2023-10-19,8:00 PM,Los Angeles Kings,7,Minnesota Wild,3,,18689,2:35
2023-10-19,7:00 PM,Nashville Predators,4,New York Rangers,1,,18006,2:24
2023-10-19,7:30 PM,Edmonton Oilers,1,Philadelphia Flyers,4,,17590,2:29
2023-10-19,10:00 PM,Carolina Hurricanes,4,Seattle Kraken,7,,17151,2:36
2023-10-19,10:30 PM,Boston Bruins,3,San Jose Sharks,1,,12501,2:30
2023-10-19,8:00 PM,Arizona Coyotes,6,St. Louis Blues,2,,18096,2:35
2023-10-19,7:00 PM,Vancouver Canucks,3,Tampa Bay Lightning,4,,19092,2:32
2023-10-19,8:00 PM,Vegas Golden Knights,5,Winnipeg Jets,3,,11521,2:18
2023-10-20,7:00 PM,Calgary Flames,1,Columbus Blue Jackets,3,,16276,2:25
2023-10-20,7:30 PM,New Jersey Devils,5,New York Islanders,4,OT,17255,2:33
2023-10-21,4:00 PM,Anaheim Ducks,1,Arizona Coyotes,2,,4600,2:30
2023-10-21,7:00 PM,New York Islanders,1,Buffalo Sabres,3,,16179,2:27
2023-10-21,8:00 PM,Vegas Golden Knights,5,Chicago Blackhawks,3,,19867,2:27
2023-10-21,9:00 PM,Carolina Hurricanes,4,Colorado Avalanche,6,,18131,2:32
2023-10-21,8:00 PM,Philadelphia Flyers,4,Dallas Stars,5,OT,18532,2:34
2023-10-21,10:00 PM,Winnipeg Jets,3,Edmonton Oilers,2,OT,18347,2:40
2023-10-21,7:00 PM,Vancouver Canucks,5,Florida Panthers,3,,16991,2:24
2023-10-21,10:30 PM,Boston Bruins,4,Los Angeles Kings,2,,18145,2:44
2023-10-21,8:00 PM,Columbus Blue Jackets,5,Minnesota Wild,4,OT,18479,2:39
2023-10-21,7:00 PM,Washington Capitals,2,Montreal Canadiens,3,OT,21105,2:31
2023-10-21,8:00 PM,San Jose Sharks,1,Nashville Predators,5,,17222,2:28
2023-10-21,1:00 PM,Detroit Red Wings,5,Ottawa Senators,2,,18834,2:31
2023-10-21,10:00 PM,New York Rangers,4,Seattle Kraken,1,,17151,2:38
2023-10-21,8:00 PM,Pittsburgh Penguins,2,St. Louis Blues,4,,18096,2:21
2023-10-21,7:00 PM,Toronto Maple Leafs,4,Tampa Bay Lightning,3,OT,19092,2:35
2023-10-22,8:30 PM,Boston Bruins,3,Anaheim Ducks,1,,14264,2:26
2023-10-22,5:00 PM,Calgary Flames,2,Detroit Red Wings,6,,17626,2:26
2023-10-23,7:00 PM,Montreal Canadiens,3,Buffalo Sabres,1,,13507,2:22
2023-10-24,8:30 PM,Anaheim Ducks,3,Columbus Blue Jackets,2,OT,16432,2:28
2023-10-24,9:45 PM,New York Rangers,3,Calgary Flames,1,,16800,2:25
2023-10-24,8:30 PM,Boston Bruins,3,Chicago Blackhawks,0,,19370,2:36
2023-10-24,8:15 PM,Seattle Kraken,5,Detroit Red Wings,4,OT,16894,2:40
2023-10-24,7:45 PM,San Jose Sharks,1,Florida Panthers,3,,16142,2:24
2023-10-24,10:30 PM,Arizona Coyotes,3,Los Angeles Kings,6,,17668,2:42
2023-10-24,9:00 PM,Edmonton Oilers,4,Minnesota Wild,7,,17064,2:30
2023-10-24,7:15 PM,New Jersey Devils,5,Montreal Canadiens,2,,21105,2:32
2023-10-24,9:15 PM,Vancouver Canucks,3,Nashville Predators,2,,17159,2:17
2023-10-24,8:00 PM,Colorado Avalanche,7,New York Islanders,4,,14856,2:31
2023-10-24,6:45 PM,Buffalo Sabres,6,Ottawa Senators,4,,14278,2:38
2023-10-24,7:30 PM,Dallas Stars,4,Pittsburgh Penguins,1,,17209,2:29
2023-10-24,7:00 PM,Carolina Hurricanes,0,Tampa Bay Lightning,3,,19092,2:27
2023-10-24,11:00 PM,Philadelphia Flyers,2,Vegas Golden Knights,3,,17717,2:31
2023-10-24,8:45 PM,St. Louis Blues,2,Winnipeg Jets,4,,11136,2:21
2023-10-24,6:00 PM,Toronto Maple Leafs,4,Washington Capitals,1,,16641,2:20
2023-10-25,7:30 PM,Washington Capitals,6,New Jersey Devils,4,,16117,2:23
2023-10-26,7:00 PM,Anaheim Ducks,4,Boston Bruins,3,OT,17850,2:44
2023-10-26,7:00 PM,Seattle Kraken,2,Carolina Hurricanes,3,OT,18780,2:38
2023-10-26,9:00 PM,St. Louis Blues,3,Calgary Flames,0,,16897,2:26
2023-10-26,8:00 PM,Toronto Maple Leafs,4,Dallas Stars,1,,18532,2:21
2023-10-26,7:00 PM,Winnipeg Jets,4,Detroit Red Wings,1,,17857,2:25
2023-10-26,9:00 PM,New York Rangers,3,Edmonton Oilers,0,,17939,2:26
2023-10-26,7:00 PM,Columbus Blue Jackets,3,Montreal Canadiens,4,OT,21105,2:35
2023-10-26,7:30 PM,Ottawa Senators,2,New York Islanders,3,,14911,2:37
2023-10-26,7:30 PM,Minnesota Wild,2,Philadelphia Flyers,6,,17144,2:30
2023-10-26,7:00 PM,Colorado Avalanche,0,Pittsburgh Penguins,4,,17154,2:26
2023-10-26,7:00 PM,San Jose Sharks,0,Tampa Bay Lightning,6,,19092,2:23
2023-10-27,10:00 PM,Los Angeles Kings,5,Arizona Coyotes,4,,4600,2:37
2023-10-27,7:00 PM,San Jose Sharks,0,Carolina Hurricanes,3,,18700,2:37
2023-10-27,7:00 PM,Buffalo Sabres,4,New Jersey Devils,5,,16514,2:30
2023-10-27,10:00 PM,St. Louis Blues,0,Vancouver Canucks,5,,18548,2:23
2023-10-27,6:00 PM,Chicago Blackhawks,4,Vegas Golden Knights,3,OT,18338,2:27
2023-10-27,7:00 PM,Minnesota Wild,2,Washington Capitals,3,SO,16602,2:45
2023-10-28,7:00 PM,Detroit Red Wings,1,Boston Bruins,4,,17850,2:25
2023-10-28,7:00 PM,New York Islanders,2,Columbus Blue Jackets,0,,15424,2:13
2023-10-28,6:00 PM,Seattle Kraken,2,Florida Panthers,3,,16780,2:33
2023-10-28,10:30 PM,Vegas Golden Knights,4,Los Angeles Kings,3,SO,18145,2:38
